"","X1","X2","region","hemi","roi","side"
"128",183.916313943436,82.7336130000588,"7Networks_LH_SomMot_6","left","0038","lateral"
"129",197.405735555178,93.1444781825371,"7Networks_LH_SomMot_6","left","0038","lateral"
"130",201.304871667969,105.000890480698,"7Networks_LH_SomMot_6","left","0038","lateral"
"131",189.473413571047,109.214502620316,"7Networks_LH_SomMot_6","left","0038","lateral"
"132",170.245312825484,109.24001577434,"7Networks_LH_SomMot_7","left","0039","lateral"
"133",156.738193616234,93.2704474741289,"7Networks_LH_SomMot_7","left","0039","lateral"
"134",156.510693413005,88.5090300681944,"7Networks_LH_SomMot_7","left","0039","lateral"
"135",173.901862230916,90.9890906530296,"7Networks_LH_SomMot_7","left","0039","lateral"
"136",178.393693990342,95.6929138332643,"7Networks_LH_SomMot_7","left","0039","lateral"
"137",180.580121310409,106.541334338587,"7Networks_LH_SomMot_7","left","0039","lateral"
"138",170.245312825484,109.24001577434,"7Networks_LH_SomMot_7","left","0039","lateral"
"139",139.075791671275,106.669783068563,"7Networks_LH_SomMot_8","left","0040","lateral"
"140",126.822851314625,105.054785366752,"7Networks_LH_SomMot_8","left","0040","lateral"
"141",118.511521695333,96.3211024237333,"7Networks_LH_SomMot_8","left","0040","lateral"
"142",126.350888961338,94.0148074440953,"7Networks_LH_SomMot_8","left","0040","lateral"
"143",139.580062034709,96.9463966507152,"7Networks_LH_SomMot_8","left","0040","lateral"
"144",143.600295037269,103.909111993786,"7Networks_LH_SomMot_8","left","0040","lateral"
"145",139.075791671275,106.669783068563,"7Networks_LH_SomMot_8","left","0040","lateral"
"146",104.683252374144,112.041455300772,"7Networks_LH_SomMot_9","left","0041","lateral"
"147",100.417020789343,102.653226748853,"7Networks_LH_SomMot_9","left","0041","lateral"
"148",104.651780936531,99.1829799600368,"7Networks_LH_SomMot_9","left","0041","lateral"
"149",120.570004470249,98.6114292252529,"7Networks_LH_SomMot_9","left","0041","lateral"
"150",127.94927075272,106.151217635458,"7Networks_LH_SomMot_9","left","0041","lateral"
"151",125.900786418865,111.120868991232,"7Networks_LH_SomMot_9","left","0041","lateral"
"152",104.683252374144,112.041455300772,"7Networks_LH_SomMot_9","left","0041","lateral"
"153",160.226141384595,118.211434865035,"7Networks_LH_SomMot_10","left","0042","lateral"
"154",141.429510759243,107.791554201886,"7Networks_LH_SomMot_10","left","0042","lateral"
"155",140.733025518073,106.400165459756,"7Networks_LH_SomMot_10","left","0042","lateral"
"156",147.714503148807,101.891446978608,"7Networks_LH_SomMot_10","left","0042","lateral"
"157",170.226704784623,108.757808897255,"7Networks_LH_SomMot_10","left","0042","lateral"
"158",167.998997122453,115.508518615985,"7Networks_LH_SomMot_10","left","0042","lateral"
"159",160.226141384595,118.211434865035,"7Networks_LH_SomMot_10","left","0042","lateral"
"160",143.737111759089,125.906475455944,"7Networks_LH_SomMot_11","left","0043","lateral"
"161",128.614287550716,113.203676683265,"7Networks_LH_SomMot_11","left","0043","lateral"
"162",128.640505031436,106.378920387435,"7Networks_LH_SomMot_11","left","0043","lateral"
"163",139.421707385399,106.224641326852,"7Networks_LH_SomMot_11","left","0043","lateral"
"164",160.237364726826,117.943969508556,"7Networks_LH_SomMot_11","left","0043","lateral"
"165",158.744673233045,123.488705989567,"7Networks_LH_SomMot_11","left","0043","lateral"
"166",143.737111759089,125.906475455944,"7Networks_LH_SomMot_11","left","0043","lateral"
"167",114.971817974227,141.419608852325,"7Networks_LH_SomMot_12","left","0044","lateral"
"168",108.620444390933,137.299970110124,"7Networks_LH_SomMot_12","left","0044","lateral"
"169",104.75402486426,119.826905008792,"7Networks_LH_SomMot_12","left","0044","lateral"
"170",106.313070916754,111.954403470767,"7Networks_LH_SomMot_12","left","0044","lateral"
"171",114.79918597697,109.007623561648,"7Networks_LH_SomMot_12","left","0044","lateral"
"172",126.198866248934,111.409489483655,"7Networks_LH_SomMot_12","left","0044","lateral"
"173",127.743554287534,120.454490346789,"7Networks_LH_SomMot_12","left","0044","lateral"
"174",126.890545958519,127.838344039305,"7Networks_LH_SomMot_12","left","0044","lateral"
"175",120.872755619394,130.906281594171,"7Networks_LH_SomMot_12","left","0044","lateral"
"176",119.389059482726,138.380273636093,"7Networks_LH_SomMot_12","left","0044","lateral"
"177",114.971817974227,141.419608852325,"7Networks_LH_SomMot_12","left","0044","lateral"
"178",145.060477220984,151.268371225992,"7Networks_LH_SomMot_13","left","0045","lateral"
"179",137.154402634131,146.446711875789,"7Networks_LH_SomMot_13","left","0045","lateral"
"180",133.6549821722,133.336066704938,"7Networks_LH_SomMot_13","left","0045","lateral"
"181",127.869302751903,128.154600408805,"7Networks_LH_SomMot_13","left","0045","lateral"
"182",128.252445293494,113.980959275518,"7Networks_LH_SomMot_13","left","0045","lateral"
"183",140.786558809174,120.247116596279,"7Networks_LH_SomMot_13","left","0045","lateral"
"184",147.679080469746,133.019822754625,"7Networks_LH_SomMot_13","left","0045","lateral"
"185",145.060477220984,151.268371225992,"7Networks_LH_SomMot_13","left","0045","lateral"
"186",127.144731046704,152.458942797645,"7Networks_LH_SomMot_14","left","0046","lateral"
"187",120.248695505299,149.653836438027,"7Networks_LH_SomMot_14","left","0046","lateral"
"188",117.020911011517,144.051214382599,"7Networks_LH_SomMot_14","left","0046","lateral"
"189",123.102753364364,128.6341616506,"7Networks_LH_SomMot_14","left","0046","lateral"
"190",132.716801117231,131.531905615248,"7Networks_LH_SomMot_14","left","0046","lateral"
"191",135.681636896117,139.344877743061,"7Networks_LH_SomMot_14","left","0046","lateral"
"192",135.489390523584,148.486234044219,"7Networks_LH_SomMot_14","left","0046","lateral"
"193",127.144731046704,152.458942797645,"7Networks_LH_SomMot_14","left","0046","lateral"
"194",158.381780728519,162.443022882466,"7Networks_LH_SomMot_15","left","0047","lateral"
"195",147.592351782542,156.00406073041,"7Networks_LH_SomMot_15","left","0047","lateral"
"196",145.343532166025,146.091969735006,"7Networks_LH_SomMot_15","left","0047","lateral"
"197",149.087119604445,137.473777197676,"7Networks_LH_SomMot_15","left","0047","lateral"
"198",170.528327263286,154.498352939603,"7Networks_LH_SomMot_15","left","0047","lateral"
"199",170.824774129283,157.775000535235,"7Networks_LH_SomMot_15","left","0047","lateral"
"200",165.210958572045,161.954856948723,"7Networks_LH_SomMot_15","left","0047","lateral"
"201",158.381780728519,162.443022882466,"7Networks_LH_SomMot_15","left","0047","lateral"
"202",118.064462044073,167.311087917418,"7Networks_LH_SomMot_16","left","0048","lateral"
"203",110.225453771602,160.359535979084,"7Networks_LH_SomMot_16","left","0048","lateral"
"204",112.368955815196,141.504553257802,"7Networks_LH_SomMot_16","left","0048","lateral"
"205",128.742265592279,154.165830702729,"7Networks_LH_SomMot_16","left","0048","lateral"
"206",133.753491208367,162.907693326405,"7Networks_LH_SomMot_16","left","0048","lateral"
"207",118.064462044073,167.311087917418,"7Networks_LH_SomMot_16","left","0048","lateral"
"208",143.866630274428,168.082745300349,"7Networks_LH_SomMot_17","left","0049","lateral"
"209",133.526095689697,162.059079883098,"7Networks_LH_SomMot_17","left","0049","lateral"
"210",129.701618024934,154.448947427802,"7Networks_LH_SomMot_17","left","0049","lateral"
"211",130.914736162129,151.067074495359,"7Networks_LH_SomMot_17","left","0049","lateral"
"212",138.736315807914,148.049928628469,"7Networks_LH_SomMot_17","left","0049","lateral"
"213",146.210577438571,152.365694789413,"7Networks_LH_SomMot_17","left","0049","lateral"
"214",147.950695437969,159.721349444954,"7Networks_LH_SomMot_17","left","0049","lateral"
"215",146.658798040129,166.964665315181,"7Networks_LH_SomMot_17","left","0049","lateral"
"216",143.866630274428,168.082745300349,"7Networks_LH_SomMot_17","left","0049","lateral"
"217",131.924330905953,179.805684561426,"7Networks_LH_SomMot_19","left","0051","lateral"
"218",122.051607501671,171.666020835079,"7Networks_LH_SomMot_19","left","0051","lateral"
"219",121.952853863852,167.207602088395,"7Networks_LH_SomMot_19","left","0051","lateral"
"220",135.686124286718,164.73240448502,"7Networks_LH_SomMot_19","left","0051","lateral"
"221",141.833364033108,166.956613294746,"7Networks_LH_SomMot_19","left","0051","lateral"
"222",144.502930777092,175.816531863083,"7Networks_LH_SomMot_19","left","0051","lateral"
"223",131.924330905953,179.805684561426,"7Networks_LH_SomMot_19","left","0051","lateral"
"224",165.210263083493,185.869172578976,"7Networks_LH_SomMot_20","left","0052","lateral"
"225",144.617205563332,173.895220562101,"7Networks_LH_SomMot_20","left","0052","lateral"
"226",147.747206602055,160.222158730466,"7Networks_LH_SomMot_20","left","0052","lateral"
"227",154.624599848333,161.522075370691,"7Networks_LH_SomMot_20","left","0052","lateral"
"228",165.210263083493,185.869172578976,"7Networks_LH_SomMot_20","left","0052","lateral"
"229",173.235142676036,190.500711025612,"7Networks_LH_SomMot_21","left","0053","lateral"
"230",166.703071231633,185.708285985189,"7Networks_LH_SomMot_21","left","0053","lateral"
"231",157.153327445509,162.939894261798,"7Networks_LH_SomMot_21","left","0053","lateral"
"232",165.201576812306,162.827884562065,"7Networks_LH_SomMot_21","left","0053","lateral"
"233",185.492680569129,180.608820245795,"7Networks_LH_SomMot_21","left","0053","lateral"
"234",173.235142676036,190.500711025612,"7Networks_LH_SomMot_21","left","0053","lateral"
"235",153.516496075079,188.945132240246,"7Networks_LH_SomMot_22","left","0054","lateral"
"236",148.340568256873,186.360758673044,"7Networks_LH_SomMot_22","left","0054","lateral"
"237",144.047895073283,176.160791543097,"7Networks_LH_SomMot_22","left","0054","lateral"
"238",149.418095810723,176.330075207032,"7Networks_LH_SomMot_22","left","0054","lateral"
"239",157.794158444657,182.594787572091,"7Networks_LH_SomMot_22","left","0054","lateral"
